order,english_name,Flag,breeds,SAR,Sensitive candidate?
68,Eurasian Collared-Dove,†,?,,
72,White-winged Dove,†,?,,
240,Black Vulture,†,?,,
244,Mississippi Kite,†,?,,
334,Violet-green Swallow,†,?,,
384,Sprague's Pipit,†,?,THR,
403,Snow Bunting,†,?,,
417,Lark Bunting,†,?,THR,
453,Worm-eating Warbler,†,?,,
467,Kentucky Warbler,†,?,,
486,Yellow-throated Warbler,†,?,,
496,Summer Tanager,†,?,,
503,Blue Grosbeak,†,?,,
3,Snow Goose,§,1,,
4,Ross's Goose,†,1,,
10,Cackling Goose,†,1,,
11,Canada Goose,‡ ,1,,
12,Mute Swan,‡ ,1,,
13,Trumpeter Swan,‡ ,1,,
14,Tundra Swan,†,1,,
16,Wood Duck,‡ ,1,,
18,Blue-winged Teal,§,1,,
19,Cinnamon Teal,†,1,,
20,Northern Shoveler,‡ ,1,,
21,Gadwall,‡ ,1,,
23,American Wigeon,‡ ,1,,
24,Mallard,‡ ,1,,
25,American Black Duck,‡ ,1,,
27,Northern Pintail,‡ ,1,,
28,Green-winged Teal,‡ ,1,,
30,Canvasback,†,1,,
31,Redhead,†,1,,
32,Ring-necked Duck,‡ ,1,,
34,Greater Scaup,†,1,,
35,Lesser Scaup,§,1,,
36,King Eider,†,1,,
37,Common Eider,†,1,,
39,Surf Scoter,†,1,,
40,White-winged Scoter,†,1,,
41,Black Scoter,†,1,,
42,Long-tailed Duck,§,1,,
43,Bufflehead,‡ ,1,,
44,Common Goldeneye,‡ ,1,,
47,Hooded Merganser,‡ ,1,,
48,Common Merganser,‡ ,1,,
49,Red-breasted Merganser,‡ ,1,,
50,Ruddy Duck,§,1,,
51,Northern Bobwhite,†,1,END,
52,Gray Partridge,†,1,,
52.5,Chukar,†,1,,
53,Ring-necked Pheasant,‡ ,1,,
54,Ruffed Grouse,‡ ,1,,
55,Spruce Grouse,‡ ,1,,
56,Willow Ptarmigan,‡ ,1,,
58,Sharp-tailed Grouse,‡ ,1,,
59,Greater Prairie-Chicken,†,1,EXP,
60,Wild Turkey,‡ ,1,,
61,Pied-billed Grebe,‡ ,1,,
62,Horned Grebe,†,1,SC,
63,Red-necked Grebe,†,1,,
64,Eared Grebe,†,1,,
66,Rock Pigeon (Feral Pigeon),‡ ,1,,
73,Mourning Dove,‡ ,1,,
74,Yellow-billed Cuckoo,‡ ,1,,
75,Black-billed Cuckoo,‡ ,1,,
78,Common Nighthawk,§,1,SC,
80,Chuck-will's-widow,†,1,,
81,Eastern Whip-poor-will,§,1,THR,
84,Chimney Swift,§,1,THR,
86,Ruby-throated Hummingbird,‡ ,1,,
91,Yellow Rail,†,1,SC,
93,King Rail,†,1,END,
94,Virginia Rail,‡ ,1,,
95,Sora,‡ ,1,,
97,Common Gallinule,§,1,,
98,American Coot,§,1,,
99,Sandhill Crane,‡ ,1,,
101,Black-necked Stilt,†,1,,
102,American Avocet,†,1,,
105,American Golden-Plover,†,1,,
110,Semipalmated Plover,‡ ,1,,
111,Piping Plover,†,1,END,
112,Killdeer,§,1,,
114,Upland Sandpiper,†,1,,
115,Whimbrel,†,1,,
121,Hudsonian Godwit,†,1,THR,
122,Marbled Godwit,†,1,,
127,Stilt Sandpiper,†,1,,
130,Dunlin,§,1,,
135,Least Sandpiper,‡ ,1,,
138,Pectoral Sandpiper,†,1,,
139,Semipalmated Sandpiper,†,1,,
141,Short-billed Dowitcher,†,1,,
143,American Woodcock,‡ ,1,,
144,Wilson's Snipe,‡ ,1,,
145,Spotted Sandpiper,‡ ,1,,
146,Solitary Sandpiper,‡ ,1,,
149,Lesser Yellowlegs,†,1,THR,
152,Greater Yellowlegs,‡ ,1,,
153,Wilson's Phalarope,†,1,,
154,Red-necked Phalarope,†,1,SC,
157,Parasitic Jaeger,†,1,,
162,Black Guillemot,†,1,,
169,Bonaparte's Gull,§,1,,
171,Little Gull,†,1,,
178,Ring-billed Gull,§,1,,
179,California Gull,†,1,,
180,Herring Gull,§,1,,
186,Great Black-backed Gull,†,1,,
190,Caspian Tern,§,1,,
191,Black Tern,†,1,SC,
193,Common Tern,§,1,,
194,Arctic Tern,†,1,,
195,Forster's Tern,†,1,,
200,Red-throated Loon,§,1,,
201,Pacific Loon,§,1,,
202,Common Loon,‡ ,1,,
219,Double-crested Cormorant,§,1,,
222,American White Pelican,†,1,THR,
224,American Bittern,‡ ,1,,
225,Least Bittern,†,1,THR,
226,Great Blue Heron,§,1,,
227,Great Egret,†,1,,
229,Snowy Egret,†,1,,
232,Cattle Egret,†,1,,
233,Green Heron,§,1,,
234,Black-crowned Night-Heron,†,1,,
241,Turkey Vulture,‡ ,1,,
242,Osprey,‡ ,1,,
245,Bald Eagle,§,1,SC,
246,Northern Harrier,‡ ,1,,
247,Sharp-shinned Hawk,‡ ,1,,
248,Cooper's Hawk,‡ ,1,,
249,Northern Goshawk,§,1,,x
250,Red-shouldered Hawk,‡ ,1,,
251,Broad-winged Hawk,‡ ,1,,
253,Red-tailed Hawk,‡ ,1,,
255,Rough-legged Hawk,†,1,,
257,Golden Eagle,†,1,END,
258,Barn Owl,†,1,END,
259,Eastern Screech-Owl,‡ ,1,,
260,Great Horned Owl,‡ ,1,,
262,Northern Hawk Owl,§,1,,
264,Barred Owl,‡ ,1,,
265,Great Gray Owl,§,1,,
266,Long-eared Owl,§,1,,
267,Short-eared Owl,†,1,SC,
268,Boreal Owl,§,1,,
269,Northern Saw-whet Owl,‡ ,1,,
270,Belted Kingfisher,‡ ,1,,
